fuente,titulo,url
Computrabajo,Asesor de Negocios Huánuco,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#73F5A1ECE3676DD161373E686DCF3405
Computrabajo,promotor/a vendedor,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#CE11B338F840D60C61373E686DCF3405
Computrabajo,Asesor/a comercial,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#BF621354DCDD363361373E686DCF3405
Computrabajo,Almacenista auxiliar de almacén y costos,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#88AF00BF2FE9EBB861373E686DCF3405
Computrabajo,Supervisor Comercial,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#9587919E9204A05A61373E686DCF3405
Computrabajo,"10 Vendedores de Campo(Bares) Gana hasta S/.2070 a más Lima Oeste (Callao, SMP, San Miguel)",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#4FABA9986F280EF361373E686DCF3405
Computrabajo,Practicante de Creación de contenido y Redes Sociales,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#AE20ACEE0788F8A161373E686DCF3405
Computrabajo,asesor/a comercial,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#76B2947405A31F3E61373E686DCF3405
Computrabajo,"Representate Comercial, rubro salud",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#80AD9881D2D0AA5361373E686DCF3405
Computrabajo,Kam Lima y Cusco,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#1C49E925C7230C8961373E686DCF3405
Computrabajo,Asistente Administrativo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#E72662CF5E7654A961373E686DCF3405
Computrabajo,Coordinador(a) de Entrenamiento – Sector Salud,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#D9AFEFCBB99C8DB261373E686DCF3405
Computrabajo,community manager,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#1ECBF0178CC89CED61373E686DCF3405
Computrabajo,Asistente de Servicio al Estudiante / Innova Teaching School (por suplencia),https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#75FBF666CA2DD29361373E686DCF3405
Computrabajo,"Analista de Datos, con experiencia en el sector educativo",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#FDB56FD1B1924C7E61373E686DCF3405
Computrabajo,community manager,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#43CBB2E639F0503961373E686DCF3405
Computrabajo,Ejecutivo(a) de Ventas Mayorista – Call Center,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#E8992AFED612E3A161373E686DCF3405
Computrabajo,community manager,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#07D4B58F66FF820261373E686DCF3405
Computrabajo,Asesor comercial Rubro Automotriz / Cajamarca,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#D4DB41A95ACA568B61373E686DCF3405
Computrabajo,Supervisor de Ventas / Experiencia Rubro Calzado y/o textil,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#C96B3006337D988A61373E686DCF3405
Computrabajo,Promotores de Ventas impresoras y computo HP / Cusco,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#A0F733949601E11D61373E686DCF3405
Computrabajo,San Ignacio / Asesor de Campo Crédito Grupal,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#CEAACE0F20F4E29261373E686DCF3405
Computrabajo,Asesor Comercial,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#40A7D9B57341616061373E686DCF3405
Computrabajo,Auxiliar administrativo/a,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#62F9C2B1F2031F9561373E686DCF3405
Computrabajo,Urgente! Asesor de Créditos / Diners Club / S/.1400 + Comisiones Altas,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#0E5B4EFF9BC5F0A761373E686DCF3405
Computrabajo,"Promotor Retail para Samsung para Lima Este, SJL, Santa Anita, Puruchuco, Santa Clara, Ate",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#96A3B0BF04A26ABD61373E686DCF3405
Computrabajo,Relacionista Publica,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#A0publica
Computrabajo,Empaquetador de Regalos/ Pharmax Salaverry / Turno Fijo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#8482F2AFC7BB773D61373E686DCF3405
Computrabajo,Ejecutivo Comercial,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#500B3161F6F4A68A61373E686DCF3405
Computrabajo,Asesora de Ventas/ Pharmax Surco/ Turno mañana y Tarde,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#640AFA45D635B61561373E686DCF3405
Computrabajo,Asesor comercial Rubro Automotriz / Sede Chiclayo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#288BBE9B81C4465561373E686DCF3405
Computrabajo,Mercaderistas de Supermercados / Lima Metropolitana / S/1600 + Planilla completa,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#56D138AF1E33775061373E686DCF3405
Computrabajo,Representante de ventas B2B,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#C2E4B9D333AE05C861373E686DCF3405
Computrabajo,Part time / Anfitriona / Recepcionista / Atención al Cliente / Centro comercial / Chorrillos,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#1E381D888D1BFEF261373E686DCF3405
Computrabajo,Part time / Anfitriona / Recepcionista / Atención al Cliente / Centro comercial / Choriillos,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#3FAAA94E0FCD976661373E686DCF3405
Computrabajo,Anfitriona / Recepcionista / Atención al Cliente / Centro comercial / Arequipa,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#6CFFEB143EA3D86D61373E686DCF3405
Computrabajo,Impulsador(a) mercados / Jueves a sábado / Consumo masivo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#794570405A6EF5CA61373E686DCF3405
Computrabajo,Impulsador(a) mercados / Jueves a sábado / Consumo masivo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#6DE8AF385A32B2ED61373E686DCF3405
Computrabajo,Promotor(a) de ventas / Celulares,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#C084105F39C0C88861373E686DCF3405
Computrabajo,Promotor(a) de ventas / Celulares,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#579C65F85983227C61373E686DCF3405
Computrabajo,Asesor(a) de Ventas Tienda Pueblo libre,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#A36ED9770FDF51AD61373E686DCF3405
Computrabajo,"Vendedor de Campo Horeca/Experiencia en Bares, Restaurantes y Discotecas S/3000 con Movilidad–SJL",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#EEF6CB901773A58E61373E686DCF3405
Computrabajo,S/1600 Fijo + Línea de Ascenso Vendedores Top para Bebidas Backus,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#6423E400A30B516261373E686DCF3405
Computrabajo,Promotor de ventas de cámaras de acción para Miraflores,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#1633AB84794FA86A61373E686DCF3405
Computrabajo,S/3370 3 Vendedores Top para Marca de Bebidas,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#DAC83205CD86A52461373E686DCF3405
Computrabajo,Jefe de Mantenimiento e Infraestructura,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#D1C4D053A384D68161373E686DCF3405
Computrabajo,Asistente Comercial del sector publicidad y arquitectura comercial,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#BB01479AB053588061373E686DCF3405
Computrabajo,Ejecutivo de Ventas Call Center – Híbrido / Sueldo fijo + movilidad hasta S/2000 / Cajamarca,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#02B6803F98CF5D1261373E686DCF3405
Computrabajo,Ejecutivo de Ventas Call Center – Híbrido / Sueldo fijo + movilidad hasta S/2000 / Chiclayo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#9612FB958E50FDB261373E686DCF3405
Computrabajo,Ejecutivo de Ventas Call Center – Híbrido / Sueldo fijo + movilidad hasta S/2000 / Piura,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#386AE080F0F34E7961373E686DCF3405
Computrabajo,Ejecutivo de Ventas Call Center – Híbrido / Sueldo fijo + movilidad hasta S/2000 / Trujillo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#36DDC2AD6D94A2B161373E686DCF3405
Computrabajo,Técnico Catastral,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#A6311200DCC848E261373E686DCF3405
Computrabajo,Promotor de Ventas de Colchones / Supermercados San Juan de Lurigancho,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#B34AB9CEF0E3F29E61373E686DCF3405
Computrabajo,Lima Sur: Promotora de Ruta / Útiles Escolares / Planilla completa + Movilidad,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#7240C10FCB32409A61373E686DCF3405
